image_name,patch_number,prediction
20220323_044028_400_0400.jpg,0,1
20220323_044028_400_0400.jpg,1,1
20220323_044028_400_0400.jpg,2,1
20220323_044028_400_0400.jpg,3,2
20220323_044028_400_0400.jpg,4,2
20220323_044028_400_0400.jpg,5,2
20220323_044028_400_0400.jpg,6,2
20220323_044028_400_0400.jpg,7,1
20220323_044028_400_0400.jpg,8,2
20220323_044028_400_0400.jpg,9,2
20220323_044028_400_0400.jpg,10,2
20220323_044028_400_0400.jpg,11,2
20220323_044028_400_0400.jpg,12,2
20220323_044028_400_0400.jpg,13,2
20220323_044028_400_0400.jpg,14,2
20220323_044028_400_0400.jpg,15,2
20220323_044028_400_0400.jpg,16,2
20220323_044028_400_0400.jpg,17,2
20220323_044028_400_0400.jpg,18,2
20220323_044028_400_0400.jpg,19,2
20220323_044028_400_0400.jpg,20,2
20220323_044028_400_0400.jpg,21,2
20220323_044028_400_0400.jpg,22,2
20220323_044028_400_0400.jpg,23,2
20220323_044028_400_0400.jpg,24,2
20220323_044028_400_0400.jpg,25,2
20220323_044028_400_0400.jpg,26,2
20220323_044028_400_0400.jpg,27,0
20220323_044028_400_0402.jpg,0,1
20220323_044028_400_0402.jpg,1,1
20220323_044028_400_0402.jpg,2,1
20220323_044028_400_0402.jpg,3,2
20220323_044028_400_0402.jpg,4,2
20220323_044028_400_0402.jpg,5,2
20220323_044028_400_0402.jpg,6,2
20220323_044028_400_0402.jpg,7,1
20220323_044028_400_0402.jpg,8,2
20220323_044028_400_0402.jpg,9,2
20220323_044028_400_0402.jpg,10,2
20220323_044028_400_0402.jpg,11,2
20220323_044028_400_0402.jpg,12,2
20220323_044028_400_0402.jpg,13,2
20220323_044028_400_0402.jpg,14,2
20220323_044028_400_0402.jpg,15,2
20220323_044028_400_0402.jpg,16,2
20220323_044028_400_0402.jpg,17,2
20220323_044028_400_0402.jpg,18,2
20220323_044028_400_0402.jpg,19,2
20220323_044028_400_0402.jpg,20,2
20220323_044028_400_0402.jpg,21,2
20220323_044028_400_0402.jpg,22,2
20220323_044028_400_0402.jpg,23,2
20220323_044028_400_0402.jpg,24,2
20220323_044028_400_0402.jpg,25,2
20220323_044028_400_0402.jpg,26,2
20220323_044028_400_0402.jpg,27,0
20220323_044028_400_0404.jpg,0,1
20220323_044028_400_0404.jpg,1,1
20220323_044028_400_0404.jpg,2,1
20220323_044028_400_0404.jpg,3,2
20220323_044028_400_0404.jpg,4,2
20220323_044028_400_0404.jpg,5,2
20220323_044028_400_0404.jpg,6,2
20220323_044028_400_0404.jpg,7,1
20220323_044028_400_0404.jpg,8,2
20220323_044028_400_0404.jpg,9,2
20220323_044028_400_0404.jpg,10,2
20220323_044028_400_0404.jpg,11,2
20220323_044028_400_0404.jpg,12,2
20220323_044028_400_0404.jpg,13,2
20220323_044028_400_0404.jpg,14,2
20220323_044028_400_0404.jpg,15,2
20220323_044028_400_0404.jpg,16,2
20220323_044028_400_0404.jpg,17,2
20220323_044028_400_0404.jpg,18,2
20220323_044028_400_0404.jpg,19,2
20220323_044028_400_0404.jpg,20,2
20220323_044028_400_0404.jpg,21,2
20220323_044028_400_0404.jpg,22,2
20220323_044028_400_0404.jpg,23,2
20220323_044028_400_0404.jpg,24,2
20220323_044028_400_0404.jpg,25,2
20220323_044028_400_0404.jpg,26,2
20220323_044028_400_0404.jpg,27,0
20220323_044028_400_0400.jpg,0,1
20220323_044028_400_0400.jpg,1,1
20220323_044028_400_0400.jpg,2,1
20220323_044028_400_0400.jpg,3,2
20220323_044028_400_0400.jpg,4,2
20220323_044028_400_0400.jpg,5,2
20220323_044028_400_0400.jpg,6,2
20220323_044028_400_0400.jpg,7,1
20220323_044028_400_0400.jpg,8,2
20220323_044028_400_0400.jpg,9,2
20220323_044028_400_0400.jpg,10,2
20220323_044028_400_0400.jpg,11,2
20220323_044028_400_0400.jpg,12,2
20220323_044028_400_0400.jpg,13,2
20220323_044028_400_0400.jpg,14,2
20220323_044028_400_0400.jpg,15,2
20220323_044028_400_0400.jpg,16,2
20220323_044028_400_0400.jpg,17,2
20220323_044028_400_0400.jpg,18,2
20220323_044028_400_0400.jpg,19,2
20220323_044028_400_0400.jpg,20,2
20220323_044028_400_0400.jpg,21,2
20220323_044028_400_0400.jpg,22,2
20220323_044028_400_0400.jpg,23,2
20220323_044028_400_0400.jpg,24,2
20220323_044028_400_0400.jpg,25,2
20220323_044028_400_0400.jpg,26,2
20220323_044028_400_0400.jpg,27,0
20220323_044028_400_0402.jpg,0,1
20220323_044028_400_0402.jpg,1,1
20220323_044028_400_0402.jpg,2,1
20220323_044028_400_0402.jpg,3,2
20220323_044028_400_0402.jpg,4,2
20220323_044028_400_0402.jpg,5,2
20220323_044028_400_0402.jpg,6,2
20220323_044028_400_0402.jpg,7,1
20220323_044028_400_0402.jpg,8,2
20220323_044028_400_0402.jpg,9,2
20220323_044028_400_0402.jpg,10,2
20220323_044028_400_0402.jpg,11,2
20220323_044028_400_0402.jpg,12,2
20220323_044028_400_0402.jpg,13,2
20220323_044028_400_0402.jpg,14,2
20220323_044028_400_0402.jpg,15,2
20220323_044028_400_0402.jpg,16,2
20220323_044028_400_0402.jpg,17,2
20220323_044028_400_0402.jpg,18,2
20220323_044028_400_0402.jpg,19,2
20220323_044028_400_0402.jpg,20,2
20220323_044028_400_0402.jpg,21,2
20220323_044028_400_0402.jpg,22,2
20220323_044028_400_0402.jpg,23,2
20220323_044028_400_0402.jpg,24,2
20220323_044028_400_0402.jpg,25,2
20220323_044028_400_0402.jpg,26,2
20220323_044028_400_0402.jpg,27,0
20220323_044028_400_0404.jpg,0,1
20220323_044028_400_0404.jpg,1,1
20220323_044028_400_0404.jpg,2,1
20220323_044028_400_0404.jpg,3,2
20220323_044028_400_0404.jpg,4,2
20220323_044028_400_0404.jpg,5,2
20220323_044028_400_0404.jpg,6,2
20220323_044028_400_0404.jpg,7,1
20220323_044028_400_0404.jpg,8,2
20220323_044028_400_0404.jpg,9,2
20220323_044028_400_0404.jpg,10,2
20220323_044028_400_0404.jpg,11,2
20220323_044028_400_0404.jpg,12,2
20220323_044028_400_0404.jpg,13,2
20220323_044028_400_0404.jpg,14,2
20220323_044028_400_0404.jpg,15,2
20220323_044028_400_0404.jpg,16,2
20220323_044028_400_0404.jpg,17,2
20220323_044028_400_0404.jpg,18,2
20220323_044028_400_0404.jpg,19,2
20220323_044028_400_0404.jpg,20,2
20220323_044028_400_0404.jpg,21,2
20220323_044028_400_0404.jpg,22,2
20220323_044028_400_0404.jpg,23,2
20220323_044028_400_0404.jpg,24,2
20220323_044028_400_0404.jpg,25,2
20220323_044028_400_0404.jpg,26,2
20220323_044028_400_0404.jpg,27,0
20220323_044028_400_0406.jpg,0,1
20220323_044028_400_0406.jpg,1,1
20220323_044028_400_0406.jpg,2,1
20220323_044028_400_0406.jpg,3,2
20220323_044028_400_0406.jpg,4,2
20220323_044028_400_0406.jpg,5,2
20220323_044028_400_0406.jpg,6,2
20220323_044028_400_0406.jpg,7,1
20220323_044028_400_0406.jpg,8,2
20220323_044028_400_0406.jpg,9,2
20220323_044028_400_0406.jpg,10,2
20220323_044028_400_0406.jpg,11,2
20220323_044028_400_0406.jpg,12,2
20220323_044028_400_0406.jpg,13,2
20220323_044028_400_0406.jpg,14,2
20220323_044028_400_0406.jpg,15,2
20220323_044028_400_0406.jpg,16,2
20220323_044028_400_0406.jpg,17,2
20220323_044028_400_0406.jpg,18,2
20220323_044028_400_0406.jpg,19,2
20220323_044028_400_0406.jpg,20,2
20220323_044028_400_0406.jpg,21,2
20220323_044028_400_0406.jpg,22,2
20220323_044028_400_0406.jpg,23,2
20220323_044028_400_0406.jpg,24,2
20220323_044028_400_0406.jpg,25,2
20220323_044028_400_0406.jpg,26,2
20220323_044028_400_0406.jpg,27,0
20220323_044028_400_0408.jpg,0,1
20220323_044028_400_0408.jpg,1,1
20220323_044028_400_0408.jpg,2,1
20220323_044028_400_0408.jpg,3,2
20220323_044028_400_0408.jpg,4,2
20220323_044028_400_0408.jpg,5,2
20220323_044028_400_0408.jpg,6,2
20220323_044028_400_0408.jpg,7,1
20220323_044028_400_0408.jpg,8,2
20220323_044028_400_0408.jpg,9,2
20220323_044028_400_0408.jpg,10,2
20220323_044028_400_0408.jpg,11,2
20220323_044028_400_0408.jpg,12,2
20220323_044028_400_0408.jpg,13,2
20220323_044028_400_0408.jpg,14,2
20220323_044028_400_0408.jpg,15,2
20220323_044028_400_0408.jpg,16,2
20220323_044028_400_0408.jpg,17,2
20220323_044028_400_0408.jpg,18,2
20220323_044028_400_0408.jpg,19,2
20220323_044028_400_0408.jpg,20,2
20220323_044028_400_0408.jpg,21,2
20220323_044028_400_0408.jpg,22,2
20220323_044028_400_0408.jpg,23,2
20220323_044028_400_0408.jpg,24,2
20220323_044028_400_0408.jpg,25,2
20220323_044028_400_0408.jpg,26,2
20220323_044028_400_0408.jpg,27,0
